Algo.: Cooley-Tukey (w/ parallelization)

image size      kernel size     fft             scipy           scipy fft       speedup        
256x256         15x15           0.068023        0.019667        0.004703        0.289126       
256x256         17x17           0.043057        0.028320        0.001222        0.657720       
256x256         19x19           0.038137        0.031467        0.001228        0.825117       
256x256         21x21           0.072956        0.038371        0.001239        0.525943       
256x256         23x23           0.037090        0.045159        0.001244        1.217540       
256x256         25x25           0.037726        0.052656        0.001230        1.395764       
256x256         27x27           0.037128        0.061021        0.001385        1.643545       
256x256         29x29           0.042453        0.070165        0.001225        1.652771       
256x256         31x31           0.038386        0.079213        0.001238        2.063570       
256x256         33x33           0.040014        0.088364        0.001257        2.208348       
1024x1024       15x15           0.665454        0.324097        0.030695        0.487032       
1024x1024       17x17           0.650405        0.405103        0.027085        0.622848       
1024x1024       19x19           0.615344        0.501754        0.026485        0.815404       
1024x1024       21x21           0.646762        0.609209        0.027882        0.941937       
1024x1024       23x23           0.619205        0.702420        0.029046        1.134391       
1024x1024       25x25           0.651836        0.846432        0.024709        1.298534       
1024x1024       27x27           0.638787        0.951394        0.026073        1.489377       
1024x1024       29x29           0.614495        1.093784        0.028988        1.779973       
1024x1024       31x31           0.643775        1.232193        0.027231        1.914013       
1024x1024       33x33           0.625724        1.446357        0.022874        2.311496       
4096x4096       15x15           11.230714       5.340356        0.512764        0.475513       
4096x4096       17x17           12.582715       7.728236        0.535192        0.614195       
4096x4096       19x19           11.274910       8.991620        0.493034        0.797489       
4096x4096       21x21           11.506952       12.673008       0.482783        1.101335       
4096x4096       23x23           10.709028       14.820143       0.542707        1.383892       
4096x4096       25x25           12.116139       17.087711       0.481922        1.410326       
4096x4096       27x27           9.757476        18.488991       0.478978        1.894854       
4096x4096       29x29           9.852525        22.567786       0.460127        2.290559       
4096x4096       31x31           9.646354        25.195037       0.462940        2.611872       
4096x4096       33x33           9.637004        27.044819       0.458805        2.806351       
