Algo.: Cooley-Tukey (w/o optimization)

image size      kernel size     fft             scipy           scipy fft       speedup        
256x256         15x15           0.075106        0.020710        0.001373        0.275744       
256x256         17x17           0.050767        0.025717        0.001336        0.506563       
256x256         19x19           0.063339        0.031996        0.001250        0.505153       
256x256         21x21           0.066704        0.042429        0.001347        0.636087       
256x256         23x23           0.061477        0.045343        0.001350        0.737557       
256x256         25x25           0.049783        0.053906        0.001365        1.082809       
256x256         27x27           0.050602        0.060989        0.001261        1.205277       
256x256         29x29           0.046988        0.070266        0.001214        1.495398       
256x256         31x31           0.047308        0.078513        0.001272        1.659606       
256x256         33x33           0.048803        0.088827        0.001355        1.820099       
1024x1024       15x15           0.897364        0.327254        0.035125        0.364683       
1024x1024       17x17           0.843333        0.400744        0.027259        0.475190       
1024x1024       19x19           0.860966        0.502353        0.026983        0.583476       
1024x1024       21x21           0.858473        0.600072        0.027830        0.698999       
1024x1024       23x23           0.857414        0.700212        0.027266        0.816656       
1024x1024       25x25           0.847283        0.828187        0.026302        0.977462       
1024x1024       27x27           0.823895        0.966491        0.023686        1.173074       
1024x1024       29x29           0.775939        1.099655        0.024579        1.417193       
1024x1024       31x31           0.795742        1.265658        0.023160        1.590537       
1024x1024       33x33           0.793398        1.449936        0.024138        1.827502       
4096x4096       15x15           16.879075       5.437346        0.575179        0.322135       
4096x4096       17x17           15.637342       7.655397        0.565526        0.489559       
4096x4096       19x19           16.433786       11.268000       0.589236        0.685661       
4096x4096       21x21           17.613982       13.346177       0.504602        0.757704       
4096x4096       23x23           16.780488       15.297812       0.496195        0.911643       
4096x4096       25x25           15.981716       17.315760       0.495474        1.083473       
4096x4096       27x27           15.287275       20.372019       0.561436        1.332613       
4096x4096       29x29           14.920933       23.778315       0.544860        1.593621       
4096x4096       31x31           14.207414       25.834365       0.466809        1.818372       
4096x4096       33x33           14.186553       29.411087       0.476418        2.073166       
