Algo.: Mixed Radix

image size      kernel size     fft             scipy           scipy fft       speedup        
256x256         15x15           0.027791        0.020096        0.001474        0.723090       
256x256         17x17           0.024539        0.024179        0.001299        0.985348       
256x256         19x19           0.024332        0.030308        0.001210        1.245644       
256x256         21x21           0.023727        0.036094        0.001245        1.521258       
256x256         23x23           0.023842        0.043374        0.001218        1.819220       
256x256         25x25           0.023343        0.050912        0.001282        2.181017       
256x256         27x27           0.027894        0.059253        0.001220        2.124263       
256x256         29x29           0.026805        0.066664        0.001217        2.487005       
256x256         31x31           0.026431        0.076932        0.001280        2.910636       
256x256         33x33           0.026480        0.086101        0.001213        3.251508       
1024x1024       15x15           0.454588        0.327356        0.023334        0.720117       
1024x1024       17x17           0.432337        0.403151        0.022969        0.932492       
1024x1024       19x19           0.417074        0.505412        0.025350        1.211804       
1024x1024       21x21           0.428712        0.619495        0.023970        1.445014       
1024x1024       23x23           0.425595        0.730492        0.024717        1.716403       
1024x1024       25x25           0.421979        0.839065        0.023726        1.988404       
1024x1024       27x27           0.419605        0.981617        0.024313        2.339380       
1024x1024       29x29           0.465914        1.106649        0.023386        2.375222       
1024x1024       31x31           0.456657        1.266697        0.023787        2.773849       
1024x1024       33x33           0.503485        1.500250        0.026062        2.979732       
4096x4096       15x15           7.573623        5.350154        0.477437        0.706419       
4096x4096       17x17           7.171106        7.588405        0.470576        1.058192       
4096x4096       19x19           7.202711        10.394145       0.475442        1.443088       
4096x4096       21x21           7.063824        12.678645       0.490370        1.794870       
4096x4096       23x23           7.688729        14.981788       0.466644        1.948539       
4096x4096       25x25           7.806781        15.816504       0.486292        2.025996       
4096x4096       27x27           7.851614        19.899278       0.473802        2.534419       
4096x4096       29x29           7.794515        22.920023       0.478256        2.940532       
4096x4096       31x31           7.984372        25.334730       0.455654        3.173040       
4096x4096       33x33           7.774858        28.188411       0.468036        3.625585       
